"site ID","adresse site","commune","LATITUDE","LONGITUDE","TYPE d'equipement d'acces (LTE)","support de TRANS","METRO DE RATTACHEMENT","numéro de port","Date mise en service ","statut","OBS","","","",""
"810002","LAKHDARIA","LAKHDARIA"," 36.561874","  3.596205","NSN","FO","lakhdaria","2/0/3","05/08/2014","on air","PA2014","","","",""
"810001","CCLT BOUIRA","BOUIRA","36.372904","3.882036","NSN","FO","BOUIRA CA2","2/0/2","14/08/2014","on air","PA2014","","","",""
"810003","IGHIL IMOURANE","ait laaziz"," 36.429026","  3.906224","NSN","FH","BOUIRA CA2","2/0/22","26/04/2015","on air","PA2015","","","",""
"810012","KADIRIA","KADIRIA"," 36.534425","  3.682222","NSN","FO","AOMAR","2/0/6","12/08/2015","on air","PA2015","","","",""
"810015","RAOURAOUA","RAOURAOUA"," 36.235333","  3.644376","NSN","FO","AIN  BESSEM","2/0/6","13/08/2015","on air","PA2015","","","",""
"810007","BAHALLIL","AGHBALOU"," 36.430690","  4.376392","NSN","FO","CHORFA","2/0/7","29/08/2015","on air","PA2015","","","",""
"810013","M’CHEDALLAH","M’CHEDALLAH"," 36.365551","  4.272137","NSN","FO","M’CHEDALLAH","2/0/9","29/08/2015","on air","PA2015","","","",""
"810011","HAIZER","HAIZER"," 36.397877","  3.999971","NSN","FO","BOUIRA CA1","2/0/2","02/09/2015","on air","PA2015","","","",""
"810010","BOURABACHE","LAKHDARIA"," 36.537150","  3.602453","NSN","FO","lakhdaria","2/0/10","07/09/2015","on air","PA2015","","","",""
"810008","BEN HARROUN","DJEBAHIA"," 36.454131","  3.771771","NSN","FO","AOMAR","2/0/7","01/10/2015","on air","PA2015","","","",""
"810017","SEMMACHE","EL ADJIBA"," 36.352702","  4.151394","NSN","FO","BECHLOUL","2/0/11","06/10/2015","on air","PA2015","","","",""
"810014","MERKALLA","TAGHZOUT"," 36.436494","  3.982020","NSN","FO","BOUIRA CA1","2/0/18","08/10/2015","on air","PA2015","","","",""
"810016","RAS BOUIRA","BOUIRA"," 36.356795","  3.924712","NSN","FH","BOUIRA CA2","2/0/15","08/10/2015","on air","PA2015","","","",""
"810004","AHL EL KSEUR ","AHL EL KSEUR "," 36.252406","  4.041362","NSN","FO","AHL EL KSEUR","2/0/1","22/10/2015","on air","PA2015","","","",""
"810018","TAKARBOUST","AGHBALOU"," 36.421250","  4.344092","NSN","FO","CHORFA","2/0/8","10/11/2015","on air","PA2015","","","",""
"810019","BOUIRA URAD","BOUIRA ","36.386834","3.900932","NSN","FO","BOUIRA CA1","2/0/17","12/11/2015","on air","PA2015","","","",""
"810023","EL  HACHIMIA","EL  HACHIMIA"," 36.218592","3.815317","NSN","FO","SOUR EL GHAZLAINE","2/0/0","21/11/2015","on air","PA2015","","","",""
"810005","AIN  BESSEM","AIN  BESSEM"," 36.292583","  3.669807","NSN","FO","AIN  BESSEM","2/0/7","23/11/2015","on air","PA2015","","","",""
"810020","CHORFA","CHORFA"," 36.359147","  4.323180","NSN","FO","CHORFA","2/0/12","26/11/2015","on air","PA2015","","","",""
"810022","SOUR ELGHOZLANE N/C","SOUR ELGHOZLANE "," 36.149590","  3.705141","NSN","FO","SOUR EL GHAZLAINE","2/0/9","29/11/2015","on air","PA2015","","","",""
"810021","SOUK EL KHEMIS","SOUK EL KHEMIS"," 36.391563","  3.632463","NSN","FO","AIN  BESSEM","2/0/8","01/12/2015","on air","PA2015","","","",""
"810006","AIT BOUALI","ATH MENSOUR"," 36.336372","  4.332061","NSN","FO","M’CHEDALLAH","2/0/11","06/01/2016","on air","PA2016","","","",""
"810025","EL ADJIBA","EL ADJIBA"," 36.329133","  4.158380","NSN","FO","BECHLOUL","2/0/6","06/03/2016","on air","PA2016","","","",""
"810009","BOURDJ OUKHRIS  (ATM)","BOURDJ OUKHRIS "," 36.083308","  3.973909","NSN","FO","BORDJ OUKHRIS","2/0/2","24/04/2016","on air","PA2016","","","",""
"810024","BOUKRAM","BOUKRAM"," 36.541279","  3.424410","NSN","FO","BOUKRAME","2/0/3","15/05/2016","on air","PA2016","","","",""
"810027","BENI HAMMAD","SAHARIDJ","36.409752","4.214215","NSN","FO","BENI HAMMAD","2/0/1","03/07/2016","on air","PA2016","","","",""
"510202","BEN SHABA","DECHMIA","36.133891","3.530267","HUAWEI","FO","SOUR EL GHAZLAINE","2/0/16","09/01/2017","on air","SUT","","","",""
"510200","AZAKNOUN","EL ADJIBA"," 36.293910","  4.125678","HUAWEI","FH","BENI HAMMAD","2/0/2","15/01/2017","on air","SUT","","","",""
"510201","GORRA","EL HACHIMIA"," 36.293297","3.848105","HUAWEI","FH","BOUIRA CA1","2/0/5","16/01/2017","on air","SUT","","","",""
"510204","SLIM","HAIZAR"," 36.402840","  4.074953","HUAWEI","FO","BOUIRA CA1","2/0/4","05/02/2017","on air","SUT","","","",""
"510203","OULED LAALAM (OULED MOUSSA)","TAGUEDITE"," 36.016760","  3.930072","HUAWEI","FO","BORDJ OUKHRIS","2/0/3","09/02/2017","on air","SUT","","","",""
"810026","MAALA LAKHDARIA","MAALA "," 36.492806","  3.573248","NSN","FO","AOMAR","2/0/9","17/04/2017","on air","PA2017","","","",""
"810028","IGHREM","AHNIF"," 36.339877","  4.187260","NSN","FH","BECHLOUL","2/0/9","09/05/2017","on air","PA2017","","","",""
"810029","KRARIB","AOMAR "," 36.524809","  3.754450","NSN","FO","AOMAR","2/0/10","20/07/2017","on air","PA2017","","","",""
"810030","IGHIL NAIT AMEUR ","AHNIF","36.261908","  4.232888","NSN","FO","M’CHEDALLAH","2/0/18","23/04/2018","on air","PA2017","","","",""
"810033","OUED KHAMIS (TIZA)","OULED RACHED"," 36.158048","  4.056879","NSN","FO","BORDJ OUKHRIS","2/0/6","23/04/2018","on air","PA2018","","","",""
"810032","FRAKSA","OUED EL BERDI"," 36.263125","  3.938831","NSN","FO","BOUIRA CA1","2/0/7","29/04/2018","on air","PA2018","","","",""
"810034","OULED ABDELLAH","OULED RACHED"," 36.219089","  4.112128","NSN","FO","AHL EL KSEUR","2/0/3","04/06/2018","on air","PA2018","","","",""
"810031","SIDI YAHIA","AIN BESSEM","36.380322","  3.698031","NSN","FH","AIN  BESSEM","2/0/19","01/07/2018","on air","PA2018","","","",""
"810037","DMADMIA (ATM)","AOMAR "," 36.458588","3.829422","NSN","FH","AOMAR","2/0/11","02/07/2018","on air","PA2018","","","",""
"810036","AIN TURK (ATM)","AIN TURK ","36.389369","3.820431","NSN","FO","BOUIRA CA2","4/0/13","04/07/2018","on air","PA2018","","","",""
"810039","BOUDERBALLA","BOUDERBALLA","36.582460","3.514255","NSN","FO","lakhdaria","4/0/0","26/07/2018","on air","PA2018","","","",""
"810038","OUED EL BERDI ATM","OUED EL BERDI "," 36.279486","3.866205","NSN","FH","BOUIRA CA1","3/0/9","12/09/2018","on air","PA2018","","","",""
"810035","GUERGOUR (ATM)","LAKHDARIA"," 36.596345","  3.565078","NSN","FH","lakhdaria","4/0/1","13/09/2018","on air","PA2018","","","",""
"810046","SOUR EL GHOZLANE URAD","SOUR EL GHOZLANE "," 36.147490","  3.688963","NSN","FO","SOUR EL GHAZLAINE","3/0/4","19/12/2019","on air","PA2019","","","",""
"810051","ICHIHANE","BECHLOUL"," 36.325328","  4.066889","NSN","FO","BECHLOUL","2/0/2","19/12/2019","on air","PA2019","","","",""
"810052","AOMAR ","AOMAR "," 36.496464","  3.769906","NSN","FO","AOMAR","2/0/13","23/01/2020","on air","PA2020","","","",""
