"code postale","code comptable","dénomination du bureau de poste","LONGITUDE","LATITUDE","Adresse","DAIRA","COMMUNE","Code Wilaya","WILAYA","Classe","Date de mise en service"
"10","10","ANCIENNE RECETTE PRINCIPALE ","3.90018","36.37682597","RUE GHERBI EL GHEMRAOUI 10000","BOUIRA","BOUIRA","10","R4","RHC","1952"
"10,084","10,101","SAID-ABID","3.83397","36.35052009","SAID-ABID 10002","BOUIRA","BOUIRA","10","BOUIRA","R4","1978"
"10,046","10,102","ZEBOUDJA","3.836885243654251","36.44196010803511","ZEBOUDJA 10221","BOUIRA","AIN-TURK","10","BOUIRA","R4","1977"
"10,001","10,103","BOUIRA-CITE-EL-BADR","3.8816727697849274","36.37563519426804","CITE 98 LOGTS FARACHATI 10001","BOUIRA","BOUIRA","10","BOUIRA","R1","2008"
"10,018","10,104","BOUIRA-DRAA-EL-BORDJ","3.8893027777777776","36.3717139","CITE DES 280 LOGTS BAT 03 10002","BOUIRA","BOUIRA","10","BOUIRA","R3","1988"
"10,061","10,105","ERRICH","3.87228","36.4445696192832","ERRICH 10111","BOUIRA","AIT-LAAZIZ","10","BOUIRA","R4","2016"
"10,091","10,106","THAMER","3.9609695971012115","36.33343655445409","THAMER VILLAGE AGRICOLE 10003  ","BOUIRA","BOUIRA","10","BOUIRA","R4","1990"
"10,017","10,107","BOUIRA-CITE-HADID-SAID","3.881722390651703","36.378184740773015","CITE 1100 BOUIRA 10005","BOUIRA","BOUIRA","10","BOUIRA","R3","1995"
"10,027","10,108","OULED-BOUCHIA","3.904050439596176","36.35691206060153","OULED-BOUCHIA 10027 ","BOUIRA","BOUIRA","10","BOUIRA","R3","2007"
"10,101","10,109","BOUIRA IZHABI BOUALEM","3.8861166666666667"," 36.388825","CITE 140 LOGTS 10101 BOUIRA","BOUIRA","BOUIRA","10","BOUIRA","R4","2010"
"10,108","10,110","BOUIRA UNIVERSITE","3.876142200000004"," 36.3791038","CITE 1100 BOUIRA 10108","BOUIRA","BOUIRA","10","BOUIRA","R4","2011"
"10,109","10,111","RESIDENCE UNIVERSITAIRE AINOUCHE CHAMA","3.8770727813243866","36.38578926166858","CITE 140 LOGTS 10101 BOUIRA","BOUIRA","BOUIRA","10","BOUIRA","R4","2016"
"10,103","10,112","RAS BOUIRA","3.9167602916047155"," 36.36496143468771","RAS BOUIRA BENABDELLAH 10112","BOUIRA","BOUIRA","10","BOUIRA","R4","2014"
"10,104","10,113","BOUIRA POLE UNIVERSITAIRE","3.876142200000004"," 36.3791038","POLE UNIVERSITAIRE BOUIRA","BOUIRA","BOUIRA","10","BOUIRA","R4","2014"
"10,105","10,114","BOUIRA GARE ROUTIERE","3.871416002511978","36.368126006954704"," BOUIRA GARE ROUTIERE 10005","BOUIRA","BOUIRA","10","BOUIRA","R4","2014"
"10,003","10,200","M'CHEDALLAH","4.268766666666667","36.3676528","M'CHEDALALH 10100","M'CHEDALLAH","M'CHEDALLAH","10","BOUIRA","R1","1962"
"10,033","10,201","AIN-TURK-SAIH-AKLI","3.824186325","36.39366854","AIN TURK 10120","BOUIRA","AIN-TURK","10","BOUIRA","R4","1986"
"10,035","10,202","BAHALIL","4.367280006408691","36.42256014793665","BAHALIL  10191","M'CHEDALLAH","AGHBALOU","10","BOUIRA","R4","1987"
"10,012","10,203","BECHLOUL","4.073186111111111","36.3123472","BECHLOUL 10145","BECHLOUL","BECHLOUL","10","BOUIRA","R3","1994"
"10,053","10,204","BENI-HAMDOUNE","4.374500300000022","36.4079418","BENI HAMDOUNE 10196","M'CHEDALLAH","AGHBALOU","10","BOUIRA","R4","1984"
"10,034","10,205","AIT-LAAZIZ","3.876604735851288","36.450801538659434","AIT LAAZIZ 10110","BOUIRA","AIT-LAAZIZ","10","BOUIRA","R4","1996"
