"ID","Code Site","Nom du Site","LONGITUDE","LATITUDE","Type","Typologie","Surface du Site (M²)","Hauteur (M)","T. Salle Equip.","Nbre Secteurs","Type Gardiennage","Commune","Etat","D. Mise en Air","Propriétaire"
"2650","10040","SABKHI","3.445690","36.538880","Not HUB","Mât","50","","---","","Non Gardé","BOUIRA","On AIR","","Propriété Privée"
"6218","101001","RAS BOUIRA","3.911400","36.367740","Terminal","Zéro Site","50","9","Zéro Site","3","Non Gardé","BOUIRA","On AIR","2016-12-08","Propriété Privée"
"4524","101002","Place des Martyrs","3.901820","36.374230","---","Mât","","","---","","Non Gardé","BOUIRA","Phase Planification","","Propriété Privée"
"6219","101003","OULED ELBOUCHIA","3.900230","36.356210","Terminal","Mât","50","9","Shelter","3","Non Gardé","BOUIRA","On AIR","2014-11-02","Propriété Privée"
"6221","101004","DRAA EL BORDJ II","3.885400","36.369390","Terminal","Mât","50","12","Shelter","3","Non Gardé","BOUIRA","On AIR","2014-11-02","Propriété Privée"
"6222","101005","AMAR KHODJA","3.875200","36.370500","Terminal","Mât","50","9","Shelter","3","Non Gardé","BOUIRA","On AIR","2015-06-03","Propriété Privée"
"7771","101006","OULED BELLIL","3.878310","36.359310","Terminal","Mât","60","9","Shelter","3","Non Gardé","BOUIRA","On AIR","2015-06-02","Propriété Privée"
"7772","101007","Sour El Ghozlane Centre","3.696830","36.146930","Terminal","Mât","0","12","BTS OutDoor","3","Non Gardé","SOUR GHOZLANE","On AIR","2021-10-25","Propriété Privée"
"7773","101008","SOUR GHOZLANE","3.682005","36.145860","Terminal","Mât","60","9","Shelter","3","Non Gardé","SOUR GHOZLANE","On AIR","2015-03-16","Propriété Privée"
"11735","10101","DJBEL DIRAH","3.636495","36.083960","HUB","Pylône","50","0","BTS OutDoor","3","Gardiennage ATM","MAAMORA","On AIR","2007-05-28","Propriété Privée"
"11702","10102","TACHACHIT NADOR (10030)","3.918528","36.430990","Transmission SDH","Pylône","60","40","Local Technique (LT)","3","Gardiennage ATM","AIT LAAZIZ","On AIR","2007-05-30","ATM Mobilis"
"2670","10103","Lakhdaria","3.602430","36.537180","Terminal","Pylône","","7","Shelter","3","Non Gardé","LAKHDARIA","On AIR","2007-10-16","Algérie Telecom"
"8245","10104","BOUIRA_CAH","3.900280","36.380900","Not HUB","---","","","---","3","Non Gardé","BOUIRA","On AIR","2003-12-01","Propriété Privée"
"2671","10201","Lakhdaria","3.565104","36.596320","HUB","Pylône","40","40","Shelter","2","Gardiennage ATM","LAKHDARIA","On AIR","2014-10-16","Propriété Privée"
"1479","10202","KADIRIA","3.682860","36.534180","Not HUB","Mât","50","9","Shelter","3","Non Gardé","KADIRIA","On AIR","2004-09-30","Propriété Privée"
"8918","10203","DMADMIA_ KALOUS","3.829330","36.458560","Terminal","Pylône","50","9","BTS OutDoor","2","Non Gardé","AOMAR","On AIR","2005-01-19","Propriété Privée"
"2672","10204","THAMER","3.964900","36.333730","Terminal","Pylône","","30","Local Technique (LT)","","Non Gardé","BOUIRA","Halté","","Propriété Privée"
"8921","10205","ATH IYEKHLEF","4.228716","36.356010","HUB","Swessite","0","0","Swessite","2","Non Gardé","M'CHEDELLAH","On AIR","2005-12-08","Propriété Privée"
"1040","10206","ATH MANSOUR","4.349089","36.297240","HUB","Swessite","0","35","Swessite","2","Gardiennage ATM","M'CHEDELLAH","On AIR","2005-04-13","Propriété Privée"
"1074","10207","URAD BOUIRA","3.900920","36.386720","Not HUB","Mât","40","9","BTS OutDoor","3","Non Gardé","BOUIRA","On AIR","2004-10-06","Algérie Telecom"
"5701","10208","CCLT BOUIRA","3.882080","36.372640","Terminal","Mât","60","9","BTS OutDoor","3","Non Gardé","BOUIRA","On AIR","2004-09-30","APC"
"6093","10209","CDC A-BESSEM","3.669830","36.292610","Terminal","---","","","---","3","Non Gardé","AIN BESSAM","On AIR","2004-10-18",""
"998","10210","URAD SEG","3.688890","36.147640","Not HUB","---","","","---","3","Non Gardé","SOUR GHOZLANE","On AIR","2005-05-03","Algérie Telecom"
"2673","10301","CITE 250 LGMTS","3.903240","36.377740","Terminal","Mât","40","9","Shelter","3","Non Gardé","BOUIRA","On AIR","2015-06-09","Propriété Privée"
"2674","10302","CITE ERRICH","3.883700","36.391630","Terminal","Pylône","","30","Shelter","3","Non Gardé","BOUIRA","On AIR","2015-09-15","Propriété Privée"
"2675","10303","EDIMCO Bouira","3.891450","36.385680","---","Pylône","","30","Local Technique (LT)","","Non Gardé","BOUIRA","Halté","","Propriété Privée"
"2676","10304","LG DRAA EL BORDJ","3.892970","36.371260","Not HUB","Mât","","9","BTS OutDoor","3","Non Gardé","BOUIRA","On AIR","2014-10-30","Propriété Privée"
"2677","10306","AIR DES FINANCE","3.885940","36.375670","Terminal","Mât","","9","Shelter","3","Non Gardé","BOUIRA","On AIR","2015-06-08","Propriété Privée"
"11612","10307","Cité Universitaire","3.875190","36.386700","---","Mât","","","---","","Non Gardé","BOUIRA","Halté","","Propriété Privée"
"2678","10308","CITE ECOTEC","3.881500","36.380000","Terminal","Pylône","150","0","Shelter","3","Non Gardé","BOUIRA","On AIR","2015-11-24","Propriété Privée"
"2680","10310","CITE FRERES GACEB","3.679510","36.159590","Terminal","Mât","150","12","Shelter","3","Non Gardé","SOUR GHOZLANE","On AIR","2015-09-20","Propriété Privée"
"2681","10311","CITE SYNDICAT","3.687330","36.143900","Terminal","Mât","80","12","Shelter","3","Non Gardé","SOUR GHOZLANE","On AIR","2015-06-07","Propriété Privée"
"2682","10312","Hay Messaoud Kahelel","3.701200","36.141100","Terminal","Mât","50","12","BTS OutDoor","3","Non Gardé","SOUR GHOZLANE","On AIR","2021-11-23","Propriété Privée"
"2683","10313","SAADI MOUSSA","3.766650","36.491320","Terminal","Mât","60","9","Shelter","3","Non Gardé","AOMAR","On AIR","2015-06-04","Propriété Privée"
"2684","10315","DJEBAHIA 2","3.757170","36.475820","Terminal","Mât","50","12","Shelter","3","Non Gardé","DJEBAHIA","On AIR","2014-08-06","Propriété Privée"
"2685","10316","Asnam1","4.016720","36.319980","Terminal","Mât","150","9","Shelter","3","Non Gardé","EL ASNAM","On AIR","2020-05-13","Propriété Privée"
"2687","10601","Cité Sorical1","3.885640","36.380830","HUB","Multi-Mâts","","6","Shelter","3","Non Gardé","BOUIRA","On AIR","2005-12-08","Propriété Privée"
"2688","10602","Bouira Colline","3.903348","36.367770","HUB","Pylône","150","30","Shelter","3","Non Gardé","BOUIRA","On AIR","2006-04-23","ADE"
"2689","10603","Mechdallah1","4.272280","36.365830","Not HUB","Pylône","150","40","Local Technique (LT)","3","Non Gardé","M'CHEDELLAH","On AIR","2005-12-04","Algérie Telecom"
"2691","10604","Saharidij1","4.242750","36.398150","Not HUB","Mât","50","9","Shelter","3","Non Gardé","SAHARIDJ","On AIR","2006-03-21","Propriété Privée"
"2692","10605","Chorfa1","4.320360","36.361720","Terminal","Mât","50","6","Shelter","3","Non Gardé","CHORFA","On AIR","2006-03-23","Propriété Privée"
"2693","10606","Rafour1","4.288675","36.353330","Not HUB","Mât","","9","Shelter","3","Non Gardé","M'CHEDELLAH","On AIR","2006-05-22","Propriété Privée"
"2695","10608","Ahl Ksar1","4.041700","36.252410","Terminal","Pylône","150","25","Local Technique (LT)","3","Non Gardé","AHL EL KSAR","On AIR","2005-12-25","Algérie Poste"
"2696","10609","Ouled Rached1","4.108300","36.211530","Not HUB","Mât","150","9","Shelter","3","Non Gardé","OULED RACHED","On AIR","2006-05-14","Propriété Privée"
"2697","10610","Bechloul1","4.071460","36.311940","Terminal","Mât","49","9","Shelter","3","Non Gardé","BECHLOUL","On AIR","2005-12-10","Propriété Privée"
"2698","10611","Adjiba1","4.154760","36.328840","HUB","Mât","150","9","Shelter","3","Non Gardé","EL ADJIBA","On AIR","2006-03-21","Propriété Privée"
"2699","10612","Ain El Hadjer1","3.808560","36.339120","Terminal","Mât","150","9","Local Technique (LT)","3","Non Gardé","AIN EL HADJAR","On AIR","2014-06-17","Propriété Privée"
"2700","10613","Ain Laloui1","3.747540","36.323290","Terminal","Mât","150","9","Shelter","3","Non Gardé","AIN LALOUI","On AIR","2005-12-23","Propriété Privée"
"2701","10614","Souk El Khemis1","3.632470","36.391620","Not HUB","Pylône","150","25","Local Technique (LT)","3","Non Gardé","SOUK EL KHEMIS","On AIR","2005-11-30","Propriété Privée"
"2702","10615","Ain Bessam1","3.675179","36.288810","HUB","Pylône","80","30","Shelter","3","Non Gardé","AIN BESSAM","On AIR","2005-12-28","Algérie Poste"
"2703","10616","Ain Bessam2","3.679510","36.293950","Not HUB","Mât","60","6","Shelter","3","Non Gardé","AIN BESSAM","On AIR","2005-12-22","Propriété Privée"
"2706","10617","Khabouzia1","3.599990","36.316940","Terminal","Mât","150","9","Shelter","3","Non Gardé","EL KHABOUZIA","On AIR","2005-12-23","Propriété Privée"
"2707","10618","Bir Ghbalou1","3.588390","36.265740","Terminal","Pylône","150","","Shelter","3","Non Gardé","BIR GHBALOU","On AIR","2006-03-23","APC"
"2708","10619","Raouraoua1","3.644560","36.235590","Not HUB","Pylône","150","63","Local Technique (LT)","3","Non Gardé","RAOURAOUA","On AIR","2005-10-10","Algérie Telecom"
"2709","10620","El Hachimia1","3.814860","36.219530","Terminal","Mât","150","9","Shelter","3","Non Gardé","EL HACHIMIA","On AIR","2005-12-06","Propriété Privée"
