"WILAYA","COMMUNE","LOCALITÉ","Longitude","Latitude","المنطقة","البلدية","Populations","Covert_Fixe","Type_tech","Etat_loc","Obser_DW","Observations"
"BOUIRA","Aghbalou","Tikentarth","36.43548","4.34641","ثكنترث","اغبالو","200","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ahl El Ksar","Achemli","36.280288","4.004198","اشملي","اهل القصر","100","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ahl El Ksar","TIGMIt 1","36.234854","4.02164","تيقميت 1","اهل القصر","432","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ahl El Ksar","Tizi smail","36.234569","4.011978","تيزي سماعيل","اهل القصر","368","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ahl El Ksar","Berroudha","36.263288","4.047997","برودة","اهل القصر","250","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ahl El Ksar"," Tiftissine ","36.281667","4.030532","ثفثسين","اهل القصر","436","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ahl El Ksar","Ighil M'hallah","36.268953","4.044054","إغيل أمحلة","اهل القصر","700","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ahnif","Ighzer Oumeziane","36.294061","4.208756","إغزراومزيان","احنيف","568","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ain Bessem","El Djemaa","36.370325","3.74411","الجمعة","عين بسام","496","Non","","éligible 2G ","",""
"BOUIRA","Ain Bessem","El Othmania","36.252757","3.686691","العثمانية","عين بسام","56","Non","","Exclue Nombre d'habitants ","",""
"BOUIRA","Ain Bessem","El Sad Lakhal (Medjour)","36.268852","3.733617","سد لكحل (مجور)","عين بسام","37","Non","","Exclue Nombre d'habitants ","",""
"BOUIRA","Ain El Hadjar","Atouares","36.2406","3.4738","التوارس","عين الحجر","224","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ain El Hadjar","Bni Okba 1","36.391953","3.762468","بني عقبة 1","عين الحجر","682","Non","","éligible 2G ","",""
"BOUIRA","Ain El Hadjar","Ouled Abdellah2","36.350566","3.735284","اولاد عبد الله 2","عين الحجر","519","Non","","éligible ","",""
"BOUIRA","Ain El Hadjar","Dhrabnia","36.361558","3.811078","درابنية","عين الحجر","474","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ain El Hadjar","El Maamir","36.2317","3.4804","المعامير","عين الحجر","420","Non","","Exclue Couvertes 3G et/ou 4G Mobile ","",""
"BOUIRA","Ain El Hadjar","Echaiba","36.20431","3.4626","شعيبة ","عين الحجر","369","Non","","éligible 2G ","",""
