"Code site ","Commune","Technologie","Adresse","LONGITUDE","LATITUDE","Date de mise en service"
"4A10X137","BOUIRA","2G/3G/4G","“ZI BOUIRA 2” Zone industrielle de Bouira W.BOUIRA","3.88376","36.39167","42712"
"4A10X005","BOUIRA","2G/3G/4G","RUE GHERIBI GHEMRAOUI IMMEUBLE KHEROUF MOUSSA , BOUIRA","3.8998","36.3782","22-Nov-16"
"4A10X007","BOUIRA","2G/3G/4G","Villa sise à Bouira, Section 57, Groupe de Propriété 111, Commune et Daïra de Bouira / (W) de Bouira","3.8853","36.3758","17-Nov-16"
"4A10X093","BOUIRA","2G/3G/4G","Hay Kouizi Said Lot n° 18Bouira ","3.8919","36.3758","28-Nov-16"
"4A10X094","BOUIRA","2G/3G/4G","RUE 17 OCTOBRE COMMUNE DE BOUIRA WILAYA DE BOUIRA.","3.9049","36.3750","17-Nov-16"
"4A10X127","BOUIRA","2G/3G/4G","Cité Ouled Boutoula section 15 ilot de propriété 238 appt n° 13 commune de Bouira","3.8770","36.3703","7-Dec-16"
"4A10X039","BOUIRA","2G/3G/4G","Villa sise au Lieudit Draa El Bordj Est, N° 137, Commune de Bouira / (W) de Bouira","3.8971","36.3708","9-Jan-17"
"4A10X159","BOUIRA","3G4G","Villa sise au Lotissement 158, N° 12, Ouled Bouchia, Commune de Bouira / (W) de Bouira","3.9011","36.3566","20-Nov-16"
"4A10X103","BOUIRA","2G/3G/4G","CITE 338 LOT N° 213 BOUIRA","3.8815","36.3867","3-Apr-17"
"4A10X001","BOUIRA","2G/3G/4G","14,LOTISSEMENT HOCINI BENABDELLAH RAS BOUIRA","3.9099","36.3707","16-Nov-16"
"4A10M161","BOUIRA","2G/3G/4G"," Uno Bouira ","3.8840","36.3920","1-Dec-16"
"4A10X006","BOUIRA","2G/3G/4G","RUE EL ARBAS ALI, BOUIRA","3.8921","36.3802","11-Jul-21"
"4A10X119","BOUIRA","2G/3G/4G","COMMUNE DE BOUIRA ILOT DE PROPRIETE N°67 SECTION 40 LIEU DIT 166 LOGEMENT -BOUIRA","3.8798","36.3820","27-Jun-18"
"4A10X115","BOUIRA","2G/3G/4G","RUE AMROUCHE MOULOUD N° 76 CHATEAU D’EAU W . BOUIRA","2.8452","36.3834","12-Feb-19"
"4A10X128","BOUIRA","2G/3G/4G","Lieu dit Kadat ""A"" 30 groupe de propriété n° 02 commune de Bouira","2.8452","36.3900","12-Feb-19"
"4A10X105","BOUIRA","2G/3G/4G","Haouche El mounadiline, Thameur .W BOUIRA","3.9364","36.3381","9-May-20"
"4A10X173","BOUIRA","2G/3G/4G","Terrain sis au Lotissement dit 212 Lots, Section 16, Groupe de Propriété 180, Commune et Daïra de Bouira / (W) de Bouira","3.8955","36.3527","8-Jun-20"
"4A10X023","EL ASNAM","2G/3G/4G","Route Nationale N°5, El-Asnam - Bouira","4.0079","36.3236","27-Jun-18"
"4A10X036","EL ASNAM","2G4G","HOTEL DJURDJURA DE TIKEDJDA","4.1277","36.4482","23-Jul-20"
"4A10X020","GUERROUMA","2G/3G/4G","Terrain sis à Coté de l'Ancien Siège de l'APC de Guerrouma, Commune de Guerrouma / (W) de Bouira","3.4282","36.4335","9-Sep-20"
"4A10X068","KADIRIA","2G/3G/4G","CENTRE KADIRIA , LAKHDARIA , BOUIRA","3.6828","36.5318","28-Nov-21"
"4A10X017","KADIRIA","2G/3G/4G","Villa sise à la Zone Urbaine, Lieudit Cité 215 Lots, Section 09, Groupe de Propriété 106, Commune de Kadiria / (W) de Bouira","3.6789","36.5373","24-Aug-21"
"4A10X130","KADIRIA","2G/3G/4G","Villa sise à la Cité 215 Habitations, Section 09, Groupe de Propriété 177, Commune de Kadiria / (W) de Bouira","3.6744","36.5355","30-Sep-21"
"4A10X033","HANIF","2G/3G/4G","AHNIF CENTRE","4.2576","36.3299","31-Dec-20"
"4A10X107","HANIF","2G/3G/4G","Lieu dit Thine Nath Bouthi village Tiksrai commune d’Ahnif","4.2251","36.2762","31-Dec-20"
"4A10X031","AIT LAAZIZ","2G/3G/4G","IGIL BOUMOUREN AIT LAAZIZ , Bouira","3.8820","36.4271","9-Jul-20"
"4A10X096","AIT LAAZIZ","2G/3G/4G","VILLAGE KESSARA AIT LAAZIZ BOUIRA","3.9022","36.4437","12-Aug-20"
"4A10X118","TAGHZOUT","2G/3G/4G","COMMUNE DE TAGHZOUT N°58-BOUIRA","3.95872","36.4067","24-Aug-21"
"4A10X022","HAIZER","2G/3G/4G","Terrain à Coté Piscine Haizer. W BOUIRA","3.9978","36.3974","15-Sep-20"
"4A10X188","HAIZER","3G4G","Terrain sis au Lieudit Ighir Zouguaghène, Commune de Haizer / (W) de Bouira","4.0584","36.4641","22-Nov-21"
"4A10X066","HAIZER","2G/3G/4G","ABESSANE OU ROMBLI VILLAGE TIGHILT N'SEKSOU COMMUNE DE HAIZER BOUIRA ","3.9960","36.4110","25-Jun-20"
"4A10X018","LAKHDARIA","2G/3G/4G","RUE CHOUDAR LAKHDAR COMMUNE LAKHDARIA","3.5955","36.5660","12-Apr-17"
"4A10X032","LAKHDARIA","2G/3G/4G","RUE ALI MAGHRAOUI LAKHDARIA","3.5825","36.5664","12-Apr-17"
"4A10X043","LAKHDARIA","2G/3G/4G","RUE 17 OCTOBRE LAKHDARIA BOUIRA ","3.5983","36.5610","9-Apr-17"
"4A10X087","LAKHDARIA","2G/3G/4G","HAI MIKHAZENI COMMUNE AKHDARIA BOUIRA","3.5983","36.5746","10-Apr-17"
"4A10X099","LAKHDARIA","2G/3G/4G","ROUTE NATIONAL N°5 LAKHDARIA CENTRE","3.5890","36.5661","9-Apr-17"
"4A10X117","LAKHDARIA","2G/3G/4G","COMMUNE DE LAKHDARIA RUE DE LA GARE N°14-BOUIRA","3.5895","36.5621","9-Apr-17"
"4A10X010","LAKHDARIA","2G/3G/4G","VILLAGE BOURABACHE, A COTE DE L'ECOLE DE BOURABACHE, COMMUNE DE LAKHDARIA","3.6024","36.5372","31-Mar-21"
"4A10X129","LAKHDARIA","2G/3G/4G","Village Zberboura n° 04 commune de Lakhdaraia Bouira","3.6412","36.5582","5-Apr-21"
"4A10X095","LAKHDARIA","2G/3G/4G","Terrain sis au Lieudit BOUNESHANE, Commune de Kharouba, Daïra de Boudouaou / (W) de Boumerdès  ","3.5650","36.5963","18-Aug-20"
"4A10X019","LAKHDARIA","2G/3G/4G","VILLAGE DRABLIA BOUDERBALA - BOUIRA","3.5219","36.5727","4-Apr-21"
"4A10X084","MAALA","2G/3G/4G","Lieu dit Hammam commune de Maala Lakhdaria El Mazaachia","3.5708","36.4935","4-Apr-21"
"4A10X027","EL HACHIMIA","2G/3G/4G","Lot de terrain à cote du siege des patriotes Route de hammam k'sana El hachimia ","3.8186","36.2175","24-Nov-19"
"4A10X070","EL HACHIMIA","2G/3G/4G","ED DRAA COMMUNE HACHIMIA DAIRA HACHIMIA BOUIRA ","3.8125","36.2175","3-Feb-20"
