"Commune","Code Site","Type","Adresse","Wilaya","LONGITUDE","LATITUDE","Mise en service"
"MEZDOUR","BO1029","2G/3G","COMMUNE DE OUED MEZDOUR","BOUIRA","4.0358333333333","36.038888888889","15/02/2007"
"RIDANE","BO1050","2G/3G","Village Ridane","BOUIRA","3.4577833333333","36.072780555556","25/02/2008"
"SOUR EL GHOZLANE","BO1054","2G/3G","Djbel Dirah Sor El Ghozlane Alger","BOUIRA","3.6376388888889","36.083333333333","29/12/2012"
"AIT LAAZIZ","BO1319","2G/3G","VILLAGE AIT LAAZIZ ROUTE DE BOUIRA","BOUIRA","3.8392222222222","36.444277777778","05/03/2017"
"AOMAR","BO1318","2G/3G","VILLAGE KALOUS ROUTE DE BOUIRA","BOUIRA","3.8317222222222","36.472861111111","05/03/2017"
"ATH MANSOUR","BO1322","2G/3G","VILLAGE ATH MANSOUR ROUTE DE BORD BOU ARRERIDJ","BOUIRA","4.3496666666667","36.297277777778","08/03/2017"
"LAKHDARIA","BO1314","2G/3G","VILLAGE GUERGOUR LAKHDARIA","BOUIRA","3.5729","36.594825","12/03/2017"
"AOMAR","BO1310","2G/3G","VILLAGE EL MADJEN","BOUIRA","3.7849277777778","36.465322222222","22/12/2018"
"EL ADJIBA","BO1307","2G/3G","EL ADJIBA HW","BOUIRA","4.1583333333333","36.317138888889","30/12/2018"
"EL ADJIBA","BO1304","2G/3G","LIEU DIT OUCHAITENE EL ADJIBA","BOUIRA","4.2308333333333","36.282444444444","16/04/2020"
"DIRAH","BO1324","2G/3G","Village EL DJAAFRA DIRAH W DE BOUIRA","BOUIRA","3.7469916666667","36.079072222222","31/05/2020"
"EL ASNAM","BO1305","2G/3G","EL ASNAM ROUTE DE AHL AL KSAR","BOUIRA","4.0081444444444","36.306794444444","12/07/2020"
"AIN BESSAM","BO1095","2G/3G","village Sidi yahia commune de ain bessam","BOUIRA","3.7136666666667","36.391166666667","12/07/2020"
